TIMESTAMP(ms),Heading_true(rad),Heading_est(rad),dR(m)
3793530,0.63816,0.639042,7
3794530,0.654792,0.588124,9
3795530,0.691474,0.609053,10
3796530,0.733665,0.647861,11
3797530,0.764373,0.688993,13
3798530,0.775348,0.714197,14
3799530,0.773436,0.724858,15
3800530,0.767619,0.721004,17
3801530,0.76483,0.718321,17
3802530,0.76173,0.714145,18
3803530,0.763876,0.714778,19
3804530,0.767503,0.718492,20
3805530,0.762263,0.717686,21
3806530,0.761509,0.713677,22
3807530,0.758518,0.713221,22
3808530,0.761586,0.711701,23
3809530,0.764089,0.714611,23
3810530,0.761888,0.716346,23
3811530,0.760543,0.713792,23
3812530,0.759587,0.712335,23
3813530,0.762898,0.712087,24
3814530,0.763248,0.715546,24
3815530,0.767011,0.715514,24
3816530,0.775342,0.719997,23
3817530,0.780166,0.730129,22
3818530,0.798723,0.733213,22
3819530,0.824111,0.758155,21
3820530,0.844807,0.778066,21
3821530,0.873347,0.803613,21
3822530,0.902812,0.831423,21
3823530,0.931365,0.860405,21
3824530,0.961266,0.890845,21
3825530,1.00387,0.92207,21
3826530,1.04817,0.964764,21
3827530,1.07404,1.00884,21
3828530,1.11679,1.04378,22
3829530,1.1444,1.07294,23
3830530,1.16908,1.10299,23
3831530,1.1966,1.12764,24
3832530,1.22822,1.15675,24
3833530,1.25172,1.18465,25
3834530,1.25875,1.20749,25
3835530,1.26169,1.21284,25
3836530,1.26056,1.21396,25
3837530,1.25472,1.21101,25
3838530,1.25838,1.20814,26
3839531,1.25851,1.21095,26.026
3840531,1.25738,1.21014,26
3841531,1.25266,1.20846,26
3842531,1.2499,1.20396,26
3843531,1.24316,1.20125,26
3844531,1.2298,1.19424,26
3845531,1.21019,1.18218,26
3846531,1.18884,1.1605,26
3847531,1.16304,1.13949,26
3848531,1.13417,1.11269,26
3849531,1.10677,1.08721,26
3850531,1.07292,1.05675,27
3851531,1.05598,1.02642,27
3852531,1.04531,1.00696,27
3853531,1.03808,0.99932,27
3854531,1.02638,0.991161,27
3855531,1.02212,0.980513,27
3856531,1.02016,0.977772,26
3857531,1.02154,0.978299,26
3858531,1.02028,0.980424,26
3859531,1.0155,0.977191,26
3860531,1.01197,0.973289,26
3861531,1.01468,0.971942,26
3862531,1.01296,0.973966,26
3863531,1.01249,0.96868,25
3864531,1.01804,0.974192,25
3865531,1.01874,0.975918,24
3866531,1.02783,0.980198,24
3867531,1.03876,0.989419,24
3868531,1.04659,1.00018,23
3869531,1.0646,1.0089,23
3870531,1.10737,1.03339,23
3871531,1.14639,1.07854,23
3872531,1.17544,1.11343,23
3873531,1.20264,1.14186,23
3874531,1.24003,1.17214,23
3875531,1.27094,1.20779,23
3876531,1.31447,1.24208,23
3877531,1.36975,1.28527,23
3878531,1.43203,1.34458,23
3879531,1.4921,1.40813,23
3880531,1.54309,1.46787,23
3881531,1.57458,1.5172,23
3882531,1.59224,1.54452,23
3883531,1.62161,1.56458,24
3884531,1.65405,1.58486,24
3885531,1.68178,1.61513,24
3886531,1.7238,1.65196,24
3887531,1.76072,1.69067,24
3888531,1.81732,1.73862,24
3889531,1.86106,1.79059,24
3890531,1.90447,1.83204,24
3891531,1.9534,1.88038,24
3892531,2.00511,1.92826,24
3893531,2.04539,1.97865,24
3894531,2.07613,2.01627,24
3895531,2.10495,2.04762,24
3896531,2.12069,2.07399,25
3897531,2.14158,2.09196,25
3898531,2.1745,2.11673,25
3899531,2.18817,2.14637,26
3900531,2.19914,2.15538,26
3901531,2.20532,2.16545,27
3902531,2.21026,2.16753,27
3903531,2.21094,2.17392,27
3904531,2.21975,2.1747,28
3905531,2.21227,2.18024,28
3906531,2.20793,2.17543,28
3907531,2.20611,2.1717,28
3908531,2.20259,2.16961,28
3909531,2.20617,2.16905,28
3910531,2.2091,2.17222,28
3911531,2.21235,2.1767,28
3912531,2.21523,2.17907,28
3913531,2.21358,2.18198,28
3914531,2.21238,2.17967,28
3915531,2.20865,2.17663,28
3916531,2.20413,2.17409,27
3917531,2.20613,2.17103,27
3918531,2.21009,2.17267,27
3919531,2.20747,2.17634,27
3920531,2.20582,2.17245,26
3921531,2.20548,2.17243,26
3922531,2.20775,2.17218,26
3923531,2.21112,2.17527,26
3924531,2.20799,2.17752,26
3925532,2.20949,2.17479,26.026
3926532,2.20667,2.1774,26
3927532,2.20341,2.17364,26
3928532,2.20225,2.16824,26
3929532,2.20351,2.1741,26
3930532,2.18764,2.16908,26
3931532,2.16919,2.15299,27
3932532,2.14417,2.1335,27
3933532,2.12078,2.10972,27
3934532,2.08438,2.08257,27
3935532,2.05721,2.04725,27
3936532,2.03253,2.02708,27
3937532,2.00451,2.00001,27
3938532,1.9642,1.96725,27
3939532,1.92705,1.92563,27
3940532,1.8721,1.88749,27
3941532,1.82639,1.83687,27
3942532,1.78054,1.78675,27
3943532,1.73803,1.74002,27
3944532,1.70639,1.69971,28
3945532,1.68514,1.66915,28
3946532,1.66829,1.65239,29
3947532,1.66098,1.63393,29
3948532,1.65456,1.62291,29
3949532,1.64843,1.61959,29
3950532,1.64898,1.61591,28
3951532,1.66333,1.61931,27
3952532,1.68362,1.63644,26
3953532,1.71298,1.65755,25
3954532,1.75398,1.6904,25
3955532,1.79955,1.73371,25
3956532,1.85215,1.78018,25
3957532,1.90039,1.83237,26
3958532,1.96093,1.88515,26
3959532,2.01298,1.93978,26
3960532,2.06018,1.99151,26
3961532,2.09172,2.0321,27
3962532,2.11955,2.06592,27
3963532,2.13676,2.0941,28
3964532,2.13701,2.10433,28
3965532,2.14959,2.10865,28
3966532,2.15658,2.11745,29
3967532,2.16099,2.12467,29
3968532,2.16367,2.1266,29
3969532,2.1634,2.12812,30
3970532,2.15957,2.12961,30
3971532,2.16161,2.12633,31
3972532,2.15695,2.12719,31
3973532,2.14708,2.12108,31
3974532,2.13589,2.11278,31
3975532,2.11893,2.09965,30
3976532,2.10133,2.08245,30
3977532,2.09266,2.06591,28
3978532,2.08719,2.06554,26
3979532,2.03316,2.03573,25
3980532,2.01334,1.99587,24
3981532,1.97797,1.97741,24
3982532,1.93516,1.93686,25
3983532,1.89807,1.89568,25
3984532,1.85522,1.85846,25
3985532,1.80896,1.81021,25
3986532,1.76836,1.76573,25
3987532,1.73586,1.73122,25
3988532,1.69509,1.69837,25
3989532,1.64761,1.65295,24
3990532,1.60889,1.61097,24
3991532,1.56657,1.57091,24
3992532,1.52589,1.53101,25
3993532,1.48514,1.48808,25
3994532,1.45646,1.44978,24
3995532,1.43307,1.42361,23
3996532,1.40119,1.39982,22
3997532,1.37167,1.36795,22
3998532,1.35046,1.33925,21
3999532,1.32826,1.31773,21
4000532,1.30423,1.29274,21
4001532,1.27921,1.27102,21
4002532,1.27045,1.24526,21
4003532,1.26479,1.23962,21
4004532,1.26151,1.23776,21
4005532,1.24342,1.23251,21
4006532,1.22276,1.212,21
4007532,1.19903,1.19249,21
